epoch,start_time,end_time,first_block_time,last_block_time,block_count,tx_count,output,fees,active_stake,avg_transaction_cost
231,1605995091,1606427091,1605995097,1606427043,21089,48347,19692027707.98839,11110.141677,19907907769.885464,0.2298000222764597
232,1606427091,1606859091,1606427091,1606859062,21149,45940,32641203268.912693,10681.640345,19977393570.330784,0.2325128503482803
233,1606859091,1607291091,1606859091,1607291078,21065,35641,19630936332.61593,8173.077946,19917513128.73384,0.2293167404393816
234,1607291091,1607723091,1607291091,1607723090,21046,33953,23265770078.694237,8006.069382,20094293921.511208,0.2357985857508909
235,1607723091,1608155091,1607723101,1608155028,21203,34170,20015673252.06776,8115.520823,20218109006.931644,0.2375042675738952
236,1608155091,1608587091,1608155091,1608587046,20915,32737,17576846558.243103,7838.075567,20387817635.42465,0.2394255908299477
237,1608587091,1609019091,1608587091,1609019073,21440,38103,92200457858.40208,8966.79163,20478038471.514496,0.2353303317324095
238,1609019091,1609451091,1609019095,1609451035,21245,49613,45425627530.17534,11693.879197,20598560072.62085,0.235701916775845
239,1609451091,1609883091,1609451091,1609883063,21258,59712,76530562322.92227,14161.113125,21356205100.35959,0.2371569052284298
240,1609883091,1610315091,1609883091,1610315046,21428,85930,80832930648.9058,20069.060896,21440591255.20776,0.2335512730827417
241,1610315091,1610747091,1610315101,1610747088,21399,64234,58439001397.20594,14690.681083,21632982170.7612,0.2287056867546782
242,1610747091,1611179091,1610747091,1611179076,21418,74057,63148817438.049614,16905.060417,21755094259.019943,0.2282709320793443
243,1611179091,1611611091,1611179091,1611611090,21586,58682,44531349200.446205,13368.193376,21849089085.26037,0.2278073919770968
244,1611611091,1612043091,1611611091,1612043078,21491,59591,29427703690.683743,13516.792921,21956206748.62367,0.2268260797939286
245,1612043091,1612475091,1612043091,1612475007,21485,88703,52975770722.09866,20044.91851,22086904770.458817,0.2259779095408272
246,1612475091,1612907091,1612475091,1612907067,21327,142367,143252676044.4655,31528.825577,22190441040.634087,0.2214616138360715
247,1612907091,1613339091,1612907091,1613339043,21508,176490,75933109763.03644,38567.858687,22275517879.395325,0.218527161238597
248,1613339091,1613771091,1613339110,1613771087,21356,151466,71532250660.13457,32686.545278,22376311335.660824,0.2158012047456194
249,1613771091,1614203091,1613771091,1614203073,21376,185379,66651221761.61328,40504.763143,22369166376.49289,0.2184970419680762
250,1614203091,1614635091,1614203091,1614635084,20991,192598,48999055712.56414,41831.556274,23034831199.28583,0.2171962132213211
251,1614635091,1615067091,1614635091,1615067086,21324,157658,26435938740.91093,34501.532516,23028427838.128765,0.2188378167679407
252,1615067091,1615499091,1615067091,1615499059,21085,139593,19251481091.16692,30758.641553,22675992136.32681,0.220345157371788
253,1615499091,1615931091,1615499091,1615931089,20922,145874,28210159664.107887,32480.018212,22807568628.326603,0.2226580350987838
254,1615931091,1616363091,1615931091,1616363062,20713,195957,40616180001.5704,43609.040032,22929461287.895664,0.2225439256163341
255,1616363091,1616795091,1616363091,1616795076,21268,168880,18208826054.09709,36360.919507,22753958467.47496,0.2153062500414495
256,1616795091,1617227091,1616795091,1617227085,21059,143164,11176034066.960367,30633.912084,22488877070.796906,0.2139777603587494
257,1617227091,1617659091,1617227300,1617659086,20836,183620,20749457990.041664,39170.561174,22670949084.3648,0.2133240451693715
258,1617659091,1618091091,1617659146,1618091079,21021,172429,19169937408.721745,37979.106429,22760955541.834538,0.2202593904099658
259,1618091091,1618523091,1618091226,1618523077,20796,201504,21371941614.90596,43782.816741,22791959380.28564,0.217280137074202
